Epidemiology Wk,Start to End,,Total Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Daily Number,,,,
,,,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral Hepatitis B,Legionellosis,Campylobacter enteritis,Acute Viral Hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis (non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Mpox,Middle East Respiratory Syndrome,Acute Upper Respiratory Tract Infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox,HFMD
26,25/6/2023 - 1/7/2023,,0,0,1,0,0,0,0,0,271,0,0,0,0,0,3,0,0,0,0,1,6,0,2,0,0,1,3,0,26,0,1,0,0,0,0,0,0,0,2122,56,368,4,26
27,2/7/2023 - 8/7/2023,,0,0,3,1,2,0,0,0,235,0,0,0,0,0,9,0,0,0,0,0,11,0,1,1,0,0,2,0,19,0,0,0,0,0,0,0,0,0,2211,63,403,5,21
28,9/7/2023 - 15/7/2023,,0,0,5,3,1,0,0,0,209,0,1,0,0,0,3,0,0,0,0,0,9,1,4,0,0,1,3,0,34,0,0,0,0,0,0,0,1,0,2449,62,400,6,23
29,16/7/2023 - 22/7/2023,,0,0,1,1,0,0,0,0,202,0,0,0,0,0,3,0,0,0,1,1,6,1,2,0,0,0,1,0,46,0,1,0,0,0,0,0,0,0,2645,65,377,4,23
30,23/7/2023 - 29/7/2023,,0,0,1,1,1,0,0,0,213,1,0,0,0,0,1,0,0,0,0,0,8,1,1,1,0,0,3,0,27,0,1,0,0,0,0,1,0,0,2701,64,364,8,24
31,30/7/2023 - 5/8/2023,,0,1,2,0,1,0,0,0,164,0,2,0,0,0,2,0,0,0,1,0,7,0,1,2,1,2,3,0,13,0,0,0,0,0,0,0,0,0,2476,65,355,5,19
32,6/8/2023 - 12/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,13/8/2023 - 19/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,20/8/2023 - 26/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,27/8/2023 - 2/9/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3/9/2023 - 9/9/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10/9/2023 - 16/9/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,17/9/2023 - 23/9/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,24/9/2023 - 30/9/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1/10/2023 - 7/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,8/10/2023 - 14/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,15/10/2023 - 21/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,22/10/2023 - 28/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,29/10/2023 - 4/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5/11/2023 - 11/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,12/11/2023 - 18/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,19/11/2023 - 25/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,26/11/2023 - 2/12/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3/12/2023 - 9/12/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,10/12/2023 - 16/12/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,17/12/2023 - 23/12/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,24/12/2023 - 30/12/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
